Network Size	 Learning Rate	 Batch Size	 Lambda	 Momentum	 Epochs	 Time	 Accuracy
[784, 30, 10]	0.05	1000	1.0	0.5	10	0	0.08
[784, 30, 10]	0.05	1000	1.0	0.5	30	0	0.08
[784, 30, 10]	0.05	1000	1.0	0.9	10	0	0.08
[784, 30, 10]	0.05	1000	1.0	0.9	30	0	0.08
[784, 30, 10]	0.05	1000	10.0	0.0	10	0	0.1
[784, 30, 10]	0.05	1000	10.0	0.0	30	0	0.41
[784, 30, 10]	0.05	1000	10.0	0.1	10	0	0.08
[784, 30, 10]	0.05	1000	10.0	0.1	30	0	0.08
[784, 30, 10]	0.05	1000	10.0	0.5	10	0	0.08
[784, 30, 10]	0.05	1000	10.0	0.5	30	0	0.08
[784, 30, 10]	0.05	1000	10.0	0.9	10	0	0.08
[784, 30, 10]	0.05	1000	10.0	0.9	30	0	0.08
[784, 30, 10]	0.05	1000	100.0	0.0	10	0	0.23
[784, 30, 10]	0.05	1000	100.0	0.0	30	0	0.36
[784, 30, 10]	0.05	1000	100.0	0.1	10	0	0.08
[784, 30, 10]	0.05	1000	100.0	0.1	30	0	0.08
[784, 30, 10]	0.05	1000	100.0	0.5	10	0	0.08
[784, 30, 10]	0.05	1000	100.0	0.5	30	0	0.08
[784, 30, 10]	0.05	1000	100.0	0.9	10	0	0.08
[784, 30, 10]	0.05	1000	100.0	0.9	30	0	0.08
[784, 30, 10]	0.1	10	0.0	0.0	10	0	0.29
[784, 30, 10]	0.1	10	0.0	0.0	30	0	0.45
[784, 30, 10]	0.1	10	0.0	0.1	10	0	0.08
[784, 30, 10]	0.1	10	0.0	0.1	30	0	0.08
[784, 30, 10]	0.1	10	0.0	0.5	10	0	0.08
[784, 30, 10]	0.1	10	0.0	0.5	30	0	0.08
[784, 30, 10]	0.1	10	0.0	0.9	10	0	0.08
[784, 30, 10]	0.1	10	0.0	0.9	30	0	0.08
[784, 30, 10]	0.1	10	0.01	0.0	10	0	0.18
[784, 30, 10]	0.1	10	0.01	0.0	30	0	0.43
[784, 30, 10]	0.1	10	0.01	0.1	10	0	0.08
[784, 30, 10]	0.1	10	0.01	0.1	30	0	0.08
[784, 30, 10]	0.1	10	0.01	0.5	10	0	0.08
[784, 30, 10]	0.1	10	0.01	0.5	30	0	0.08
[784, 30, 10]	0.1	10	0.01	0.9	10	0	0.08
[784, 30, 10]	0.1	10	0.01	0.9	30	0	0.08
[784, 30, 10]	0.1	10	0.1	0.0	10	0	0.23
[784, 30, 10]	0.1	10	0.1	0.0	30	0	0.53
[784, 30, 10]	0.1	10	0.1	0.1	10	0	0.08
[784, 30, 10]	0.1	10	0.1	0.1	30	0	0.08
[784, 30, 10]	0.1	10	0.1	0.5	10	0	0.08
[784, 30, 10]	0.1	10	0.1	0.5	30	0	0.08
[784, 30, 10]	0.1	10	0.1	0.9	10	0	0.08
[784, 30, 10]	0.1	10	0.1	0.9	30	0	0.08
[784, 30, 10]	0.1	10	1.0	0.0	10	0	0.26
[784, 30, 10]	0.1	10	1.0	0.0	30	0	0.44
[784, 30, 10]	0.1	10	1.0	0.1	10	0	0.08
[784, 30, 10]	0.1	10	1.0	0.1	30	0	0.08
[784, 30, 10]	0.1	10	1.0	0.5	10	0	0.08
[784, 30, 10]	0.1	10	1.0	0.5	30	0	0.08
[784, 30, 10]	0.1	10	1.0	0.9	10	0	0.08
[784, 30, 10]	0.1	10	1.0	0.9	30	0	0.08
[784, 30, 10]	0.1	10	10.0	0.0	10	0	0.15
[784, 30, 10]	0.1	10	10.0	0.0	30	0	0.15
[784, 30, 10]	0.1	10	10.0	0.1	10	0	0.08
[784, 30, 10]	0.1	10	10.0	0.1	30	0	0.08
[784, 30, 10]	0.1	10	10.0	0.5	10	0	0.08
[784, 30, 10]	0.1	10	10.0	0.5	30	0	0.08
[784, 30, 10]	0.1	10	10.0	0.9	10	0	0.08
[784, 30, 10]	0.1	10	10.0	0.9	30	0	0.08
[784, 30, 10]	0.1	10	100.0	0.0	10	0	0.15
[784, 30, 10]	0.1	10	100.0	0.0	30	0	0.15
[784, 30, 10]	0.1	10	100.0	0.1	10	0	0.08
[784, 30, 10]	0.1	10	100.0	0.1	30	0	0.08
[784, 30, 10]	0.1	10	100.0	0.5	10	0	0.08
[784, 30, 10]	0.1	10	100.0	0.5	30	0	0.08
[784, 30, 10]	0.1	10	100.0	0.9	10	0	0.08
[784, 30, 10]	0.1	10	100.0	0.9	30	0	0.08
[784, 30, 10]	0.1	100	0.0	0.0	10	0	0.3
